Government Wine Cellar - Wine and Spirit Consumption and Sales April 2016 - March 2017,,,
,,,
Annual Consumption,,,
Country/Region,Vintage,Product name,Consumption
RECEPTION WINES,2014/15,Chapel Down Bacchus,1218
RECEPTION WINES,2016,Allegrini Valpolicella,13
SPIRITS,,Johnny Walker Black Label Whisky ,2.5
SPIRITS,,Caol Ila 18 year old  Single Malt Whisky,0.75
SPIRITS,,Dalwhinnie Single Malt Whisky,2
SPIRITS,,Gin,28
,,,
,,,
Annual Sales of Wine,,,
Country/Region,Vintage,Product name,Quantity
,,,
France,1990,Château Margaux ,24 bottles
France,1990,Château Mouton Rothschild ,36 bottles
France,1993,Château Têrtre Rôtebœuf ,120 bottles
France,1994,Château Léoville Barton ,120 bottles
France,1995,Château Langoa Barton ,144 bottles
