"Incident ID","Incident Date",State,"City Or County",Address,"# Killed","# Injured",Operations
476321,"December 31, 2015",Louisiana,"New Orleans","1900 block of Amelia Street",0,6,N/A
473882,"December 27, 2015",Tennessee,Jackson,"North Parkway",0,4,N/A
472268,"December 26, 2015",Pennsylvania,Philadelphia,"4210 Macalester St",0,4,N/A
471867,"December 25, 2015",Florida,Jacksonville,"Franklin and Odessa",0,4,N/A
471860,"December 25, 2015",Alabama,Mobile,"785 Schillinger Rd S",0,4,N/A
469468,"December 21, 2015",California,"San Leandro","14600 block of East 14th Street",0,4,N/A
468968,"December 20, 2015","North Carolina",Wilmington,"11th and Castle Street",1,4,N/A
468787,"December 20, 2015",Florida,"Miami (Goulds)","21630 Southwest 120th Avenue",1,4,N/A
469614,"December 20, 2015",Florida,"North Miami Beach","NE 167th St and NE 6th Ave",0,4,N/A
1584551,"December 19, 2015",Florida,Miami,"SW 216th St and SW 120th Ave",1,4,N/A
464665,"December 13, 2015",California,"Los Angeles","5550 S. Flower Street",1,3,N/A
464945,"December 13, 2015",California,"Huntington Beach","17000 block of Keelson Lane",0,4,N/A
465117,"December 12, 2015",Illinois,"Lovejoy (Brooklyn)","307 Jefferson St",1,3,N/A
464002,"December 12, 2015",Georgia,Savannah,"Whitaker Street",0,4,N/A
463642,"December 11, 2015",Maryland,Baltimore,"5100 block of Park Heights Avenue",1,3,N/A
463734,"December 11, 2015",Pennsylvania,"Pittsburgh (Mount Oliver)","200 block of  Brownsville Road",0,4,N/A
461476,"December 8, 2015",Ohio,"Cincinnati (Fairmount)","2300 block of Baltimore Avenue",1,3,N/A
460049,"December 6, 2015",Louisiana,Raceland,"Market Street",1,3,N/A
460386,"December 6, 2015",Nebraska,Omaha,"North 108th Street and Military Road",2,3,N/A
456893,"December 2, 2015",California,"San Bernardino","1365 South Waterman Ave",16,19,N/A
457037,"December 2, 2015",Georgia,Savannah,"100 block of West 33rd Street",1,3,N/A
455394,"November 29, 2015",Illinois,Kankakee,"648 E Court St",0,5,N/A
